Country,Admin1,Admin2,ISO3,Admin2 Pcode,Admin1 Pcode,Month,Year,Events,Fatalities
Nigeria,Kwara,Pategi,NGA,NG024016,NG02,January,2017,0,0
Nigeria,Kwara,Offa,NGA,NG024013,NG02,January,2017,0,0
Nigeria,Kaduna,Kauru,NGA,NG019012,NG01,January,2017,0,0
Nigeria,Ogun,Egbado South,NGA,NG028005,NG02,January,2017,0,0
Nigeria,Nassarawa,Karu,NGA,NG026004,NG02,January,2017,0,0
Nigeria,Osun,Atakumosa East,NGA,NG030003,NG03,January,2017,0,0
Nigeria,Bayelsa,Southern Ijaw,NGA,NG006007,NG00,January,2017,0,0
Nigeria,Akwa Ibom,Uruan,NGA,NG003029,NG00,January,2017,0,0
Nigeria,Katsina,Kankia,NGA,NG021020,NG02,January,2017,0,0
Nigeria,Borno,Kala Balge,NGA,NG008015,NG00,January,2017,1,234
Nigeria,Oyo,Ibarapa Central,NGA,NG031011,NG03,January,2017,0,0
Nigeria,Abia,Aba South,NGA,NG001002,NG00,January,2017,0,0
Nigeria,Ebonyi,Afikpo North,NGA,NG011002,NG01,January,2017,0,0
Nigeria,Ondo,Okitipupa,NGA,NG029014,NG02,January,2017,0,0
Nigeria,Cross River,Biase,NGA,NG009007,NG00,January,2017,0,0
Nigeria,Edo,Owan West,NGA,NG012017,NG01,January,2017,0,0
Nigeria,Kogi,Lokoja,NGA,NG023012,NG02,January,2017,0,0
Nigeria,Oyo,Ibarapa North,NGA,NG031013,NG03,January,2017,0,0
Nigeria,Taraba,Gashaka,NGA,NG035004,NG03,January,2017,0,0
Nigeria,Adamawa,Fufore,NGA,NG002002,NG00,January,2017,1,0
Nigeria,Katsina,Sandamu,NGA,NG021033,NG02,January,2017,0,0
Nigeria,Borno,Nganzai,NGA,NG008026,NG00,January,2017,0,0
Nigeria,Oyo,Itesiwaju,NGA,NG031017,NG03,January,2017,0,0
Nigeria,Sokoto,Tangaza,NGA,NG034019,NG03,January,2017,0,0
Nigeria,Osun,Boluwaduro,NGA,NG030005,NG03,January,2017,0,0
Nigeria,Kano,Warawa,NGA,NG020043,NG02,January,2017,0,0
Nigeria,Enugu,Ezeagu,NGA,NG014006,NG01,January,2017,0,0
Nigeria,Kogi,Kabba,NGA,NG023010,NG02,January,2017,0,0
Nigeria,Ogun,Remo North,NGA,NG028019,NG02,January,2017,0,0
Nigeria,Borno,Hawul,NGA,NG008012,NG00,January,2017,0,0
Nigeria,Benue,Logo,NGA,NG007012,NG00,January,2017,0,0
Nigeria,Lagos,Epe,NGA,NG025007,NG02,January,2017,0,0
Nigeria,Kaduna,Kachia,NGA,NG019008,NG01,January,2017,0,0
Nigeria,Cross River,Yala,NGA,NG009019,NG00,January,2017,0,0
Nigeria,Akwa Ibom,Ini,NGA,NG003015,NG00,January,2017,0,0
Nigeria,Rivers,Ikwerre,NGA,NG033013,NG03,January,2017,0,0
Nigeria,Kebbi,Shanga,NGA,NG022017,NG02,January,2017,0,0
Nigeria,Ekiti,Ekiti East,NGA,NG013004,NG01,January,2017,0,0
Nigeria,Cross River,Etung,NGA,NG009011,NG00,January,2017,0,0
Nigeria,Osun,Irewole,NGA,NG030021,NG03,January,2017,0,0
Nigeria,Ondo,Akoko North West,NGA,NG029002,NG02,January,2017,0,0
Nigeria,Oyo,Ona-Ara,NGA,NG031026,NG03,January,2017,0,0
Nigeria,Ogun,Shagamu,NGA,NG028020,NG02,January,2017,1,1
Nigeria,Oyo,Orelope,NGA,NG031027,NG03,January,2017,0,0
Nigeria,Kaduna,Jema'a,NGA,NG019007,NG01,January,2017,2,8
Nigeria,Ogun,Ogun Waterside,NGA,NG028018,NG02,January,2017,0,0
Nigeria,Akwa Ibom,Ika,NGA,NG003011,NG00,January,2017,0,0
Nigeria,Yobe,Jakusko,NGA,NG036009,NG03,January,2017,0,0
Nigeria,Delta,Ika South,NGA,NG010008,NG01,January,2017,0,0
Nigeria,Niger,Rafi,NGA,NG027020,NG02,January,2017,0,0
Nigeria,Kano,Makoda,NGA,NG020029,NG02,January,2017,0,0
Nigeria,Akwa Ibom,Ibeno,NGA,NG003008,NG00,January,2017,0,0
Nigeria,Kano,Albasu,NGA,NG020002,NG02,January,2017,0,0
Nigeria,Oyo,Ogo-Oluwa,NGA,NG031023,NG03,January,2017,0,0
Nigeria,Niger,Agwara,NGA,NG027002,NG02,January,2017,0,0
Nigeria,Imo,Owerri West,NGA,NG017025,NG01,January,2017,0,0
Nigeria,Kwara,Oke-Ero,NGA,NG024014,NG02,January,2017,0,0
Nigeria,Kano,Tsanyawa,NGA,NG020040,NG02,January,2017,0,0
Nigeria,Bauchi,Darazo,NGA,NG005005,NG00,January,2017,0,0
Nigeria,Taraba,Sardauna,NGA,NG035011,NG03,January,2017,0,0
Nigeria,Akwa Ibom,Obat Akara,NGA,NG003022,NG00,January,2017,0,0
Nigeria,Yobe,Gujba,NGA,NG036007,NG03,January,2017,0,0
Nigeria,Bayelsa,Yenagoa,NGA,NG006008,NG00,January,2017,1,1
Nigeria,Enugu,Isi Uzo,NGA,NG014010,NG01,January,2017,0,0
Nigeria,Abia,Isiala Ngwa North,NGA,NG001007,NG00,January,2017,0,0
Nigeria,Katsina,Katsina,NGA,NG021021,NG02,January,2017,0,0
Nigeria,Delta,Oshimili South,NGA,NG010015,NG01,January,2017,0,0
Nigeria,Benue,Ogbadibo,NGA,NG007015,NG00,January,2017,0,0
Nigeria,Bauchi,Itas-Gadau,NGA,NG005010,NG00,January,2017,0,0
Nigeria,Kebbi,Argungu,NGA,NG022003,NG02,January,2017,0,0
Nigeria,Benue,Okpokwu,NGA,NG007018,NG00,January,2017,1,1
Nigeria,Delta,Ethiope East,NGA,NG010005,NG01,January,2017,2,4
Nigeria,Niger,Suleja,NGA,NG027023,NG02,January,2017,0,0
Nigeria,Cross River,Odukpani,NGA,NG009016,NG00,January,2017,0,0
Nigeria,Kogi,Ijumu,NGA,NG023009,NG02,January,2017,0,0
Nigeria,Oyo,Atiba,NGA,NG031003,NG03,January,2017,0,0
Nigeria,Katsina,Bindawa,NGA,NG021005,NG02,January,2017,0,0
Nigeria,Akwa Ibom,Itu,NGA,NG003016,NG00,January,2017,0,0
